"";"genes";"ensembl";"symbol"
"1";"ENSG00000000003";"ENSG00000000003";"TSPAN6"
"2";"ENSG00000000005";"ENSG00000000005";"TNMD"
"3";"ENSG00000000419";"ENSG00000000419";"DPM1"
"4";"ENSG00000000457";"ENSG00000000457";"SCYL3"
"5";"ENSG00000000460";"ENSG00000000460";"C1orf112"
"6";"ENSG00000000938";"ENSG00000000938";"FGR"
"7";"ENSG00000000971";"ENSG00000000971";"CFH"
"8";"ENSG00000001036";"ENSG00000001036";"FUCA2"
"9";"ENSG00000001084";"ENSG00000001084";"GCLC"
"10";"ENSG00000001167";"ENSG00000001167";"NFYA"
"11";"ENSG00000001460";"ENSG00000001460";"STPG1"
"12";"ENSG00000001461";"ENSG00000001461";"NIPAL3"
"13";"ENSG00000001497";"ENSG00000001497";"LAS1L"
"14";"ENSG00000001561";"ENSG00000001561";"ENPP4"
"15";"ENSG00000001617";"ENSG00000001617";"SEMA3F"
"16";"ENSG00000001626";"ENSG00000001626";"CFTR"
"17";"ENSG00000001629";"ENSG00000001629";"ANKIB1"
"18";"ENSG00000001630";"ENSG00000001630";"CYP51A1"
"19";"ENSG00000001631";"ENSG00000001631";"KRIT1"
"20";"ENSG00000002016";"ENSG00000002016";"RAD52"
"21";"ENSG00000002079";"ENSG00000002079";"MYH16"
"22";"ENSG00000002330";"ENSG00000002330";"BAD"
"23";"ENSG00000002549";"ENSG00000002549";"LAP3"
"24";"ENSG00000002586";"ENSG00000002586";"CD99"
"25";"ENSG00000002587";"ENSG00000002587";"HS3ST1"
"26";"ENSG00000002726";"ENSG00000002726";"AOC1"
"27";"ENSG00000002745";"ENSG00000002745";"WNT16"
"28";"ENSG00000002746";"ENSG00000002746";"HECW1"
"29";"ENSG00000002822";"ENSG00000002822";"MAD1L1"
"30";"ENSG00000002834";"ENSG00000002834";"LASP1"
"31";"ENSG00000002919";"ENSG00000002919";"SNX11"
"32";"ENSG00000002933";"ENSG00000002933";"TMEM176A"
"33";"ENSG00000003056";"ENSG00000003056";"M6PR"
"34";"ENSG00000003096";"ENSG00000003096";"KLHL13"
"35";"ENSG00000003137";"ENSG00000003137";"CYP26B1"
"36";"ENSG00000003147";"ENSG00000003147";"ICA1"
"37";"ENSG00000003249";"ENSG00000003249";"DBNDD1"
"38";"ENSG00000003393";"ENSG00000003393";"ALS2"
"39";"ENSG00000003400";"ENSG00000003400";"CASP10"
"40";"ENSG00000003402";"ENSG00000003402";"CFLAR"
"41";"ENSG00000003436";"ENSG00000003436";"TFPI"
"42";"ENSG00000003509";"ENSG00000003509";"NDUFAF7"
"43";"ENSG00000003756";"ENSG00000003756";"RBM5"
"44";"ENSG00000003987";"ENSG00000003987";"MTMR7"
"45";"ENSG00000003989";"ENSG00000003989";"SLC7A2"
"46";"ENSG00000004059";"ENSG00000004059";"ARF5"
"47";"ENSG00000004139";"ENSG00000004139";"SARM1"
"48";"ENSG00000004142";"ENSG00000004142";"POLDIP2"
"49";"ENSG00000004399";"ENSG00000004399";"PLXND1"
"50";"ENSG00000004455";"ENSG00000004455";"AK2"
"51";"ENSG00000004468";"ENSG00000004468";"CD38"
"52";"ENSG00000004478";"ENSG00000004478";"FKBP4"
"53";"ENSG00000004487";"ENSG00000004487";"KDM1A"
"54";"ENSG00000004534";"ENSG00000004534";"RBM6"
"55";"ENSG00000004660";"ENSG00000004660";"CAMKK1"
"56";"ENSG00000004700";"ENSG00000004700";"RECQL"
"57";"ENSG00000004766";"ENSG00000004766";"VPS50"
"58";"ENSG00000004776";"ENSG00000004776";"HSPB6"
"59";"ENSG00000004777";"ENSG00000004777";"ARHGAP33"
"60";"ENSG00000004779";"ENSG00000004779";"NDUFAB1"
"61";"ENSG00000004799";"ENSG00000004799";"PDK4"
"62";"ENSG00000004809";"ENSG00000004809";"SLC22A16"
"63";"ENSG00000004838";"ENSG00000004838";"ZMYND10"
"64";"ENSG00000004846";"ENSG00000004846";"ABCB5"
"65";"ENSG00000004848";"ENSG00000004848";"ARX"
"66";"ENSG00000004864";"ENSG00000004864";"SLC25A13"
"67";"ENSG00000004866";"ENSG00000004866";"ST7"
"68";"ENSG00000004897";"ENSG00000004897";"CDC27"
"69";"ENSG00000004939";"ENSG00000004939";"SLC4A1"
"70";"ENSG00000004948";"ENSG00000004948";"CALCR"
"71";"ENSG00000004961";"ENSG00000004961";"HCCS"
"72";"ENSG00000004975";"ENSG00000004975";"DVL2"
"73";"ENSG00000005001";"ENSG00000005001";"PRSS22"
"74";"ENSG00000005007";"ENSG00000005007";"UPF1"
"75";"ENSG00000005020";"ENSG00000005020";"SKAP2"
"76";"ENSG00000005022";"ENSG00000005022";"SLC25A5"
"77";"ENSG00000005059";"ENSG00000005059";"MCUB"
"78";"ENSG00000005073";"ENSG00000005073";"HOXA11"
"79";"ENSG00000005075";"ENSG00000005075";"POLR2J"
"80";"ENSG00000005100";"ENSG00000005100";"DHX33"
"81";"ENSG00000005102";"ENSG00000005102";"MEOX1"
"82";"ENSG00000005108";"ENSG00000005108";"THSD7A"
"83";"ENSG00000005156";"ENSG00000005156";"LIG3"
"84";"ENSG00000005175";"ENSG00000005175";"RPAP3"
"85";"ENSG00000005187";"ENSG00000005187";"ACSM3"
"86";"ENSG00000005189";"ENSG00000005189";"REXO5"
"87";"ENSG00000005194";"ENSG00000005194";"CIAPIN1"
"88";"ENSG00000005206";"ENSG00000005206";"SPPL2B"
"89";"ENSG00000005238";"ENSG00000005238";"FAM214B"
"90";"ENSG00000005243";"ENSG00000005243";"COPZ2"
"91";"ENSG00000005249";"ENSG00000005249";"PRKAR2B"
"92";"ENSG00000005302";"ENSG00000005302";"MSL3"
"93";"ENSG00000005339";"ENSG00000005339";"CREBBP"
"94";"ENSG00000005379";"ENSG00000005379";"TSPOAP1"
"95";"ENSG00000005381";"ENSG00000005381";"MPO"
"96";"ENSG00000005421";"ENSG00000005421";"PON1"
"97";"ENSG00000005436";"ENSG00000005436";"GCFC2"
"98";"ENSG00000005448";"ENSG00000005448";"WDR54"
"99";"ENSG00000005469";"ENSG00000005469";"CROT"
"100";"ENSG00000005471";"ENSG00000005471";"ABCB4"
"101";"ENSG00000005483";"ENSG00000005483";"KMT2E"
"102";"ENSG00000005486";"ENSG00000005486";"RHBDD2"
"103";"ENSG00000005513";"ENSG00000005513";"SOX8"
"104";"ENSG00000005700";"ENSG00000005700";"IBTK"
"105";"ENSG00000005801";"ENSG00000005801";"ZNF195"
"106";"ENSG00000005810";"ENSG00000005810";"MYCBP2"
"107";"ENSG00000005812";"ENSG00000005812";"FBXL3"
"108";"ENSG00000005844";"ENSG00000005844";"ITGAL"
"109";"ENSG00000005882";"ENSG00000005882";"PDK2"
"110";"ENSG00000005884";"ENSG00000005884";"ITGA3"
"111";"ENSG00000005889";"ENSG00000005889";"ZFX"
"112";"ENSG00000005893";"ENSG00000005893";"LAMP2"
"113";"ENSG00000005961";"ENSG00000005961";"ITGA2B"
"114";"ENSG00000005981";"ENSG00000005981";"ASB4"
"115";"ENSG00000006007";"ENSG00000006007";"GDE1"
"116";"ENSG00000006015";"ENSG00000006015";"REX1BD"
"117";"ENSG00000006016";"ENSG00000006016";"CRLF1"
"118";"ENSG00000006025";"ENSG00000006025";"OSBPL7"
"119";"ENSG00000006042";"ENSG00000006042";"TMEM98"
"120";"ENSG00000006047";"ENSG00000006047";"YBX2"
"121";"ENSG00000006059";"ENSG00000006059";"KRT33A"
"122";"ENSG00000006062";"ENSG00000006062";"MAP3K14"
"123";"ENSG00000006071";"ENSG00000006071";"ABCC8"
"124";"ENSG00000006116";"ENSG00000006116";"CACNG3"
"125";"ENSG00000006118";"ENSG00000006118";"TMEM132A"
"126";"ENSG00000006125";"ENSG00000006125";"AP2B1"
"127";"ENSG00000006128";"ENSG00000006128";"TAC1"
"128";"ENSG00000006194";"ENSG00000006194";"ZNF263"
"129";"ENSG00000006210";"ENSG00000006210";"CX3CL1"
"130";"ENSG00000006282";"ENSG00000006282";"SPATA20"
"131";"ENSG00000006283";"ENSG00000006283";"CACNA1G"
"132";"ENSG00000006327";"ENSG00000006327";"TNFRSF12A"
"133";"ENSG00000006377";"ENSG00000006377";"DLX6"
"134";"ENSG00000006432";"ENSG00000006432";"MAP3K9"
"135";"ENSG00000006451";"ENSG00000006451";"RALA"
"136";"ENSG00000006453";"ENSG00000006453";"BAIAP2L1"
"137";"ENSG00000006459";"ENSG00000006459";"KDM7A"
"138";"ENSG00000006468";"ENSG00000006468";"ETV1"
"139";"ENSG00000006530";"ENSG00000006530";"AGK"
"140";"ENSG00000006534";"ENSG00000006534";"ALDH3B1"
"141";"ENSG00000006555";"ENSG00000006555";"TTC22"
"142";"ENSG00000006576";"ENSG00000006576";"PHTF2"
"143";"ENSG00000006606";"ENSG00000006606";"CCL26"
"144";"ENSG00000006607";"ENSG00000006607";"FARP2"
"145";"ENSG00000006611";"ENSG00000006611";"USH1C"
"146";"ENSG00000006625";"ENSG00000006625";"GGCT"
"147";"ENSG00000006634";"ENSG00000006634";"DBF4"
"148";"ENSG00000006638";"ENSG00000006638";"TBXA2R"
"149";"ENSG00000006652";"ENSG00000006652";"IFRD1"
"150";"ENSG00000006659";"ENSG00000006659";"LGALS14"
"151";"ENSG00000006695";"ENSG00000006695";"COX10"
"152";"ENSG00000006704";"ENSG00000006704";"GTF2IRD1"
"153";"ENSG00000006712";"ENSG00000006712";"PAF1"
"154";"ENSG00000006715";"ENSG00000006715";"VPS41"
"155";"ENSG00000006740";"ENSG00000006740";"ARHGAP44"
"156";"ENSG00000006744";"ENSG00000006744";"ELAC2"
"157";"ENSG00000006747";"ENSG00000006747";"SCIN"
"158";"ENSG00000006756";"ENSG00000006756";"ARSD"
"159";"ENSG00000006757";"ENSG00000006757";"PNPLA4"
"160";"ENSG00000006788";"ENSG00000006788";"MYH13"
"161";"ENSG00000006831";"ENSG00000006831";"ADIPOR2"
"162";"ENSG00000006837";"ENSG00000006837";"CDKL3"
"163";"ENSG00000007001";"ENSG00000007001";"UPP2"
"164";"ENSG00000007038";"ENSG00000007038";"PRSS21"
"165";"ENSG00000007047";"ENSG00000007047";"MARK4"
"166";"ENSG00000007062";"ENSG00000007062";"PROM1"
"167";"ENSG00000007080";"ENSG00000007080";"CCDC124"
"168";"ENSG00000007129";"ENSG00000007129";"CEACAM21"
"169";"ENSG00000007168";"ENSG00000007168";"PAFAH1B1"
"170";"ENSG00000007171";"ENSG00000007171";"NOS2"
"171";"ENSG00000007174";"ENSG00000007174";"DNAH9"
"172";"ENSG00000007202";"ENSG00000007202";"KIAA0100"
"173";"ENSG00000007216";"ENSG00000007216";"SLC13A2"
"174";"ENSG00000007237";"ENSG00000007237";"GAS7"
"175";"ENSG00000007255";"ENSG00000007255";"TRAPPC6A"
"176";"ENSG00000007264";"ENSG00000007264";"MATK"
"177";"ENSG00000007306";"ENSG00000007306";"CEACAM7"
"178";"ENSG00000007312";"ENSG00000007312";"CD79B"
"179";"ENSG00000007314";"ENSG00000007314";"SCN4A"
"180";"ENSG00000007341";"ENSG00000007341";"ST7L"
"181";"ENSG00000007350";"ENSG00000007350";"TKTL1"
"182";"ENSG00000007372";"ENSG00000007372";"PAX6"
"183";"ENSG00000007376";"ENSG00000007376";"RPUSD1"
"184";"ENSG00000007384";"ENSG00000007384";"RHBDF1"
"185";"ENSG00000007392";"ENSG00000007392";"LUC7L"
"186";"ENSG00000007402";"ENSG00000007402";"CACNA2D2"
"187";"ENSG00000007516";"ENSG00000007516";"BAIAP3"
"188";"ENSG00000007520";"ENSG00000007520";"TSR3"
"189";"ENSG00000007541";"ENSG00000007541";"PIGQ"
"190";"ENSG00000007545";"ENSG00000007545";"CRAMP1"
"191";"ENSG00000007866";"ENSG00000007866";"TEAD3"
"192";"ENSG00000007908";"ENSG00000007908";"SELE"
"193";"ENSG00000007923";"ENSG00000007923";"DNAJC11"
"194";"ENSG00000007933";"ENSG00000007933";"FMO3"
"195";"ENSG00000007944";"ENSG00000007944";"MYLIP"
"196";"ENSG00000007952";"ENSG00000007952";"NOX1"
"197";"ENSG00000007968";"ENSG00000007968";"E2F2"
"198";"ENSG00000008018";"ENSG00000008018";"PSMB1"
"199";"ENSG00000008056";"ENSG00000008056";"SYN1"
"200";"ENSG00000008083";"ENSG00000008083";"JARID2"
"201";"ENSG00000008086";"ENSG00000008086";"CDKL5"
"202";"ENSG00000008118";"ENSG00000008118";"CAMK1G"
"203";"ENSG00000008128";"ENSG00000008128";"CDK11A"
"204";"ENSG00000008130";"ENSG00000008130";"NADK"
"205";"ENSG00000008196";"ENSG00000008196";"TFAP2B"
"206";"ENSG00000008197";"ENSG00000008197";"TFAP2D"
"207";"ENSG00000008226";"ENSG00000008226";"DLEC1"
"208";"ENSG00000008256";"ENSG00000008256";"CYTH3"
"209";"ENSG00000008277";"ENSG00000008277";"ADAM22"
"210";"ENSG00000008282";"ENSG00000008282";"SYPL1"
"211";"ENSG00000008283";"ENSG00000008283";"CYB561"
"212";"ENSG00000008294";"ENSG00000008294";"SPAG9"
"213";"ENSG00000008300";"ENSG00000008300";"CELSR3"
"214";"ENSG00000008311";"ENSG00000008311";"AASS"
"215";"ENSG00000008323";"ENSG00000008323";"PLEKHG6"
"216";"ENSG00000008324";"ENSG00000008324";"SS18L2"
"217";"ENSG00000008382";"ENSG00000008382";"MPND"
"218";"ENSG00000008394";"ENSG00000008394";"MGST1"
"219";"ENSG00000008405";"ENSG00000008405";"CRY1"
"220";"ENSG00000008438";"ENSG00000008438";"PGLYRP1"
"221";"ENSG00000008441";"ENSG00000008441";"NFIX"
"222";"ENSG00000008513";"ENSG00000008513";"ST3GAL1"
"223";"ENSG00000008516";"ENSG00000008516";"MMP25"
"224";"ENSG00000008517";"ENSG00000008517";"IL32"
"225";"ENSG00000008710";"ENSG00000008710";"PKD1"
"226";"ENSG00000008735";"ENSG00000008735";"MAPK8IP2"
"227";"ENSG00000008838";"ENSG00000008838";"MED24"
"228";"ENSG00000008853";"ENSG00000008853";"RHOBTB2"
"229";"ENSG00000008869";"ENSG00000008869";"HEATR5B"
"230";"ENSG00000008952";"ENSG00000008952";"SEC62"
"231";"ENSG00000008988";"ENSG00000008988";"RPS20"
