"";"Accuracy";"Kappa";"AccuracyLower";"AccuracyUpper";"AccuracyNull";"AccuracyPValue";"McnemarPValue";"Sensitivity";"Specificity";"Pos Pred Value";"Neg Pred Value";"Precision";"Recall";"F1";"Prevalence";"Detection Rate";"Detection Prevalence";"Balanced Accuracy"
"svmRadial";0,625;0,289473684210526;0,405936384007944;0,812007071803998;0,833333333333333;0,996660946883696;0,00766076113517949;1;0,55;0,307692307692308;1;0,307692307692308;1;0,470588235294118;0,166666666666667;0,166666666666667;0,541666666666667;0,775
"svmPoly";0,625;0,205882352941176;0,405936384007944;0,812007071803998;0,833333333333333;0,996660946883696;0,0455002638963585;0,75;0,6;0,272727272727273;0,923076923076923;0,272727272727273;0,75;0,4;0,166666666666667;0,125;0,458333333333333;0,675
"svmLinear";0,541666666666667;0,131578947368421;0,328208075695178;0,744469798005254;0,833333333333333;0,999830300793737;0,015861332739773;0,75;0,5;0,230769230769231;0,909090909090909;0,230769230769231;0,75;0,352941176470588;0,166666666666667;0,125;0,541666666666667;0,625
"voomDLDA";0,625;0,205882352941176;0,405936384007944;0,812007071803998;0,833333333333333;0,996660946883696;0,0455002638963585;0,75;0,6;0,272727272727273;0,923076923076923;0,272727272727273;0,75;0,4;0,166666666666667;0,125;0,458333333333333;0,675
"voomDQDA";0,625;0,205882352941176;0,405936384007944;0,812007071803998;0,833333333333333;0,996660946883696;0,0455002638963585;0,75;0,6;0,272727272727273;0,923076923076923;0,272727272727273;0,75;0,4;0,166666666666667;0,125;0,458333333333333;0,675
"voomNSC";0,625;0,289473684210526;0,405936384007944;0,812007071803998;0,833333333333333;0,996660946883696;0,00766076113517949;1;0,55;0,307692307692308;1;0,307692307692308;1;0,470588235294118;0,166666666666667;0,166666666666667;0,541666666666667;0,775
"PLDA";0,583333333333333;0,25;0,366430645656363;0,778903094653321;0,833333333333333;0,999187243478656;0,00442652585791983;1;0,5;0,285714285714286;1;0,285714285714286;1;0,444444444444444;0,166666666666667;0,166666666666667;0,583333333333333;0,75
"PLDA2";0,583333333333333;0,166666666666667;0,366430645656363;0,778903094653321;0,833333333333333;0,999187243478656;0,0268566955075243;0,75;0,55;0,25;0,916666666666667;0,25;0,75;0,375;0,166666666666667;0,125;0,5;0,65
"NBLDA";0,666666666666667;0,25;0,446780384340352;0,843697714290865;0,833333333333333;0,988239958233828;0,077099871743542;0,75;0,65;0,3;0,928571428571429;0,3;0,75;0,428571428571428;0,166666666666667;0,125;0,416666666666667;0,7
"sparseLDA";0,833333333333333;0;0,626158286511317;0,952646373392743;0,833333333333333;0,629378418894905;0,133614402537715;0;1;NA;0,833333333333333;NA;0;NA;0,166666666666667;0;0;0,5
"mlp";0,833333333333333;0;0,626158286511317;0,952646373392743;0,833333333333333;0,629378418894905;0,133614402537715;0;1;NA;0,833333333333333;NA;0;NA;0,166666666666667;0;0;0,5
"mlpML";0,833333333333333;0;0,626158286511317;0,952646373392743;0,833333333333333;0,629378418894905;0,133614402537715;0;1;NA;0,833333333333333;NA;0;NA;0,166666666666667;0;0;0,5
"rpart";0,833333333333333;0;0,626158286511317;0,952646373392743;0,833333333333333;0,629378418894905;0,133614402537715;0;1;NA;0,833333333333333;NA;0;NA;0,166666666666667;0;0;0,5
"cforest";0,75;0,357142857142857;0,532887197577331;0,902269590525467;0,833333333333333;0,908828796884895;0,220671361919847;0,75;0,75;0,375;0,9375;0,375;0,75;0,5;0,166666666666667;0,125;0,333333333333333;0,75
"ctree";0,791666666666667;0,166666666666666;0,578487156362747;0,928681382801945;0,833333333333333;0,800470487052042;1;0,25;0,9;0,333333333333333;0,857142857142857;0,333333333333333;0,25;0,285714285714286;0,166666666666667;0,0416666666666667;0,125;0,575
"rf";0,75;0,357142857142857;0,532887197577331;0,902269590525467;0,833333333333333;0,908828796884895;0,220671361919847;0,75;0,75;0,375;0,9375;0,375;0,75;0,5;0,166666666666667;0,125;0,333333333333333;0,75
"AdaBag";0,75;0,0999999999999997;0,532887197577331;0,902269590525467;0,833333333333333;0,908828796884895;1;0,25;0,85;0,25;0,85;0,25;0,25;0,25;0,166666666666667;0,0416666666666667;0,166666666666667;0,55
"treebag";0,833333333333333;0,4;0,626158286511317;0,952646373392743;0,833333333333333;0,629378418894905;1;0,5;0,9;0,5;0,9;0,5;0,5;0,5;0,166666666666667;0,0833333333333333;0,166666666666667;0,7
"bagFDA";0,791666666666667;0,423076923076923;0,578487156362747;0,928681382801945;0,833333333333333;0,800470487052042;0,371093369522698;0,75;0,8;0,428571428571429;0,941176470588235;0,428571428571429;0,75;0,545454545454545;0,166666666666667;0,125;0,291666666666667;0,775
"gamboost";0,708333333333333;0,3;0,489052186142167;0,873847911476309;0,833333333333333;0,964555927656076;0,130570018115737;0,75;0,7;0,333333333333333;0,933333333333333;0,333333333333333;0,75;0,461538461538462;0,166666666666667;0,125;0,375;0,725
"bstSm";0,708333333333333;0,192307692307692;0,489052186142167;0,873847911476309;0,833333333333333;0,964555927656076;0,449691797968891;0,5;0,75;0,285714285714286;0,88235294117647;0,285714285714286;0,5;0,363636363636364;0,166666666666667;0,0833333333333333;0,291666666666667;0,625
"bstTree";0,875;0,357142857142857;0,676388641811167;0,973440685013751;0,833333333333333;0,415513333698485;0,248213078989924;0,25;1;1;0,869565217391304;1;0,25;0,4;0,166666666666667;0,0416666666666667;0,0416666666666667;0,625
"gpls";0,666666666666667;0,25;0,446780384340352;0,843697714290865;0,833333333333333;0,988239958233828;0,077099871743542;0,75;0,65;0,3;0,928571428571429;0,3;0,75;0,428571428571428;0,166666666666667;0,125;0,416666666666667;0,7
"pls";0,666666666666667;0,25;0,446780384340352;0,843697714290865;0,833333333333333;0,988239958233828;0,077099871743542;0,75;0,65;0,3;0,928571428571429;0,3;0,75;0,428571428571428;0,166666666666667;0,125;0,416666666666667;0,7
"spls";0,791666666666667;0,423076923076923;0,578487156362747;0,928681382801945;0,833333333333333;0,800470487052042;0,371093369522698;0,75;0,8;0,428571428571429;0,941176470588235;0,428571428571429;0,75;0,545454545454545;0,166666666666667;0,125;0,291666666666667;0,775
