"";"Accuracy";"Kappa";"AccuracyLower";"AccuracyUpper";"AccuracyNull";"AccuracyPValue";"McnemarPValue";"Sensitivity";"Specificity";"Pos Pred Value";"Neg Pred Value";"Precision";"Recall";"F1";"Prevalence";"Detection Rate";"Detection Prevalence";"Balanced Accuracy"
"svmRadial";0,142857142857143;0;0,00361029686190059;0,578723197043195;0,857142857142857;0,999998785734321;0,0412268333371636;1;0;0,142857142857143;NA;0,142857142857143;1;0,25;0,142857142857143;0,142857142857143;1;0,5
"svmPoly";0,142857142857143;0;0,00361029686190059;0,578723197043195;0,857142857142857;0,999998785734321;0,0412268333371636;1;0;0,142857142857143;NA;0,142857142857143;1;0,25;0,142857142857143;0,142857142857143;1;0,5
"svmLinear";0,285714285714286;0,0540540540540541;0,0366925661760856;0,709579136262657;0,857142857142857;0,999947786575807;0,0736382701203028;1;0,166666666666667;0,166666666666667;1;0,166666666666667;1;0,285714285714286;0,142857142857143;0,142857142857143;0,857142857142857;0,583333333333333
"voomDLDA";0,285714285714286;-0,296296296296296;0,0366925661760856;0,709579136262657;0,857142857142857;0,999947786575807;0,371093369522698;0;0,333333333333333;0;0,666666666666667;0;0;NA;0,142857142857143;0;0,571428571428571;0,166666666666667
"voomDQDA";0;-0,324324324324324;0;0,409616397225003;0,857142857142857;1;0,130570018115737;0;0;0;0;0;0;NA;0,142857142857143;0;0,857142857142857;0
"voomNSC";0;-0,324324324324324;0;0,409616397225003;0,857142857142857;1;0,130570018115737;0;0;0;0;0;0;NA;0,142857142857143;0;0,857142857142857;0
"PLDA";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"PLDA2";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"sparseLDA";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"rpart";0,142857142857143;0;0,00361029686190059;0,578723197043195;0,857142857142857;0,999998785734321;0,0412268333371636;1;0;0,142857142857143;NA;0,142857142857143;1;0,25;0,142857142857143;0,142857142857143;1;0,5
"cforest";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ctree";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"rf";0;-0,324324324324324;0;0,409616397225003;0,857142857142857;1;0,130570018115737;0;0;0;0;0;0;NA;0,142857142857143;0;0,857142857142857;0
"AdaBag";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"treebag";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"bagFDA";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"gamboost";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"bstSm";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"bstTree";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"gpls";0,285714285714286;-0,296296296296296;0,0366925661760856;0,709579136262657;0,857142857142857;0,999947786575807;0,371093369522698;0;0,333333333333333;0;0,666666666666667;0;0;NA;0,142857142857143;0;0,571428571428571;0,166666666666667
"pls";0,285714285714286;-0,296296296296296;0,0366925661760856;0,709579136262657;0,857142857142857;0,999947786575807;0,371093369522698;0;0,333333333333333;0;0,666666666666667;0;0;NA;0,142857142857143;0;0,571428571428571;0,166666666666667
"spls";0;-0,324324324324324;0;0,409616397225003;0,857142857142857;1;0,130570018115737;0;0;0;0;0;0;NA;0,142857142857143;0;0,857142857142857;0
