"";"Accuracy";"Kappa";"AccuracyLower";"AccuracyUpper";"AccuracyNull";"AccuracyPValue";"McnemarPValue";"Sensitivity";"Specificity";"Pos Pred Value";"Neg Pred Value";"Precision";"Recall";"F1";"Prevalence";"Detection Rate";"Detection Prevalence";"Balanced Accuracy"
"svmRadial";0,666666666666667;0,25;0,446780384340352;0,843697714290865;0,833333333333333;0,988239958233828;0,077099871743542;0,75;0,65;0,3;0,928571428571429;0,3;0,75;0,428571428571428;0,166666666666667;0,125;0,416666666666667;0,7
"svmPoly";0,625;0,205882352941176;0,405936384007944;0,812007071803998;0,833333333333333;0,996660946883696;0,0455002638963585;0,75;0,6;0,272727272727273;0,923076923076923;0,272727272727273;0,75;0,4;0,166666666666667;0,125;0,458333333333333;0,675
"svmLinear";0,666666666666667;0,25;0,446780384340352;0,843697714290865;0,833333333333333;0,988239958233828;0,077099871743542;0,75;0,65;0,3;0,928571428571429;0,3;0,75;0,428571428571428;0,166666666666667;0,125;0,416666666666667;0,7
"voomDLDA";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"voomDQDA";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"voomNSC";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"PLDA";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"PLDA2";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"sparseLDA";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"rpart";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"cforest";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ctree";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"rf";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"AdaBag";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"treebag";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"bagFDA";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"gamboost";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"bstSm";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"bstTree";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"gpls";0,583333333333333;0,166666666666667;0,366430645656363;0,778903094653321;0,833333333333333;0,999187243478656;0,0268566955075243;0,75;0,55;0,25;0,916666666666667;0,25;0,75;0,375;0,166666666666667;0,125;0,5;0,65
"pls";0,583333333333333;0,166666666666667;0,366430645656363;0,778903094653321;0,833333333333333;0,999187243478656;0,0268566955075243;0,75;0,55;0,25;0,916666666666667;0,25;0,75;0,375;0,166666666666667;0,125;0,5;0,65
"spls";0,75;0,357142857142857;0,532887197577331;0,902269590525467;0,833333333333333;0,908828796884895;0,220671361919847;0,75;0,75;0,375;0,9375;0,375;0,75;0,5;0,166666666666667;0,125;0,333333333333333;0,75
